t,drawdown
140,0.0
141,-0.017384210458587734
142,0.0
143,0.0
144,-0.015134626242954474
145,-0.023234861320253763
146,-0.006238181019165068
147,-0.006523010780864258
148,0.0
149,-0.003067106030228528
150,0.0
151,0.0
152,-0.001485658024204528
153,0.0
154,0.0
155,-0.00929158680171882
156,-0.008674074833801337
157,-0.019217087302824898
158,-0.0008713656630435773
159,-0.013414421053511427
160,0.0
161,0.0
162,-0.0060793030466123055
163,-0.02057271597314414
164,-0.007522703144936638
165,0.0
166,-0.01106482788280505
167,0.0
168,0.0
169,-0.007647384367466592
170,-0.013510374062411068
171,-0.009606978640566588
172,-0.012735082929217323
173,-0.012061036863890817
174,-0.03531700664959436
175,-0.020988612017320496
176,-0.0102623087861331
177,-0.0027021218184416496
178,0.0
179,-0.003328246652456013
180,0.0
181,-0.005468466247020687
182,-0.008567517169646877
183,-0.012189042906818881
184,-0.003686103601516999
185,-0.004521381120273782
186,-0.021614621861376415
187,-0.030026067155130565
188,-0.008862630185666243
189,-0.01477428561885008
190,-0.0244628437727038
191,-0.02391850272239604
192,-0.03056993948766229
193,-0.05665510631355486
194,-0.032113271114044384
195,-0.028827417985889614
196,-0.045340513930058224
197,-0.04515743410755335
198,-0.057252134703350555
199,-0.0572709555451949
200,-0.07483004658296721
201,-0.06544989605325946
202,-0.03935862922793887
203,-0.021605611462953145
204,-0.015625308116353098
205,-0.03175234643404956
206,-0.04266596183719673
207,-0.05199945400795869
208,-0.04926776760076612
209,-0.04006691401810791
210,-0.03843075074406832
211,-0.043789665556604684
212,-0.03335568575982395
213,-0.006239123401898139
214,-0.008772159389140666
215,-0.022201030566493918
216,-0.009766489938930478
217,-0.0033590749060405933
218,-0.006977252504986486
219,0.0
220,-0.01439696047155914
221,-0.018768593668575084
222,-0.030907413581547805
223,-0.026376532047727164
224,-0.026877725260895047
225,0.0
226,0.0
227,-0.011830290749949346
228,-0.0198870473653171
229,-0.030673660035903216
230,-0.04817054536245691
231,-0.030458115246870365
232,-0.048234038895847986
233,-0.058010410300855075
234,-0.06894831495284981
235,-0.0748770711011637
236,-0.030073312381475148
237,-0.007088423471297567
238,-0.011373844465061844
239,-0.016505416584561616
240,0.0
